"","ids","Y","Group"
"1","1-E-145-DS",0.369571290073451,"V1"
"2","1-E-144-DC",0.326362287893853,"V1"
"3","1-E-101-MG",0.347448728465956,"V1"
"4","1-E-115-BD",0.322423640427117,"V1"
"5","1-E-143-GM",0.320241790557099,"V1"
"6","1-E-112-BS",0.335484839387571,"V1"
"7","1-E-118-FH",0.325443013143268,"V1"
"8","1-E-129-PV",0.329180327868852,"V1"
"9","1-E-116-CJ",0.331136577606077,"V1"
"10","1-E-113-RC",0.326934553411577,"V1"
"11","1-E-124-PM",0.395872452583163,"V1"
"12","1-E-121-CA",0.334261979536015,"V1"
"13","1-E-110-HG",0.349192115174539,"V1"
"14","1-E-119-SM",0.347370026435301,"V1"
"15","1-E-127-TL",0.317658380112269,"V1"
"16","1-E-102-TS",0.341667501753683,"V1"
"17","1-E-107-DE",0.356111028940492,"V1"
"18","1-E-138-ML",0.307697525734733,"V1"
"19","1-E-130-AC",0.322601926375511,"V1"
"20","1-E-133-JM",0.344412683640231,"V1"
"21","1-E-134-CN",0.331245535046768,"V1"
"22","1-E-137-LM",0.348192631943642,"V1"
"23","1-E-105-BR",0.338610722928525,"V1"
"24","1-E-109-MH",0.334109523044805,"V1"
"25","1-E-128-JA",0.323129988502491,"V1"
"26","1-E-147-FE",0.311353239624054,"V1"
"27","1-E-122-PC",0.340664664276717,"V1"
"28","1-E-106-SF",0.359302852729318,"V1"
"29","1-E-126-MM",0.368707103215001,"V1"
"30","1-E-131-LD",0.335755393370414,"V1"
"31","1-E-141-TC",0.336250122898437,"V1"
"32","1-E-139-MI",0.331393890755881,"V1"
"33","1-E-125-FA",0.315017531152776,"V1"
"34","1-E-132-PY",0.317489275676742,"V1"
"35","1-E-111-MS",0.37993249356253,"V1"
"36","1-E-114-LC",0.351620302502458,"V1"
"37","1-E-146-VC",0.337318834725566,"V1"
"38","1-E-120-BY",0.342863969417012,"V1"
"39","1-E-140-BF",0.325036319612591,"V1"
"40","1-E-108-VG",0.33066787366727,"V1"
"41","1-E-142-BE",0.323406850289664,"V1"
"42","1-E-136-GA",0.334491456060935,"V1"
"43","1-E-145-DS",0.345795281582953,"V2"
"44","1-E-101-MG",0.317158653371508,"V2"
"45","1-E-115-BD",0.33352900368216,"V2"
"46","1-E-112-BS",0.322324790882128,"V2"
"47","1-E-118-FH",0.346732919254658,"V2"
"48","1-E-129-PV",0.322853987042319,"V2"
"49","1-E-113-RC",0.317735451130297,"V2"
"50","1-E-124-PM",0.321258155613984,"V2"
"51","1-E-121-CA",0.323273780782231,"V2"
"52","1-E-119-SM",0.338628303112044,"V2"
"53","1-E-127-TL",0.315087617947237,"V2"
"54","1-E-102-TS",0.348918494503825,"V2"
"55","1-E-107-DE",0.358548545276234,"V2"
"56","1-E-138-ML",0.326128417037508,"V2"
"57","1-E-133-JM",0.337388768789905,"V2"
"58","1-E-134-CN",0.334011785368416,"V2"
"59","1-E-137-LM",0.33626173886701,"V2"
"60","1-E-135-TR",0.346017772610248,"V2"
"61","1-E-109-MH",0.337842577283431,"V2"
"62","1-E-128-JA",0.328814638560273,"V2"
"63","1-E-147-FE",0.318011587874717,"V2"
"64","1-E-122-PC",0.327924558978945,"V2"
"65","1-E-106-SF",0.349424358715411,"V2"
"66","1-E-141-TC",0.325208970605074,"V2"
"67","1-E-139-MI",0.33878492694181,"V2"
"68","1-E-132-PY",0.326473597868988,"V2"
"69","1-E-111-MS",0.367265264238071,"V2"
"70","1-E-114-LC",0.334531459283498,"V2"
"71","1-E-146-VC",0.335980749874182,"V2"
"72","1-E-120-BY",0.33655397122395,"V2"
"73","1-E-140-BF",0.328836256433318,"V2"
"74","1-E-142-BE",0.319048774569279,"V2"
"75","1-E-136-GA",0.323274135398585,"V2"
"76","1-E-145-DS",0.341159135559921,"V3"
"77","1-E-101-MG",0.330486721295291,"V3"
"78","1-E-115-BD",0.31569670824031,"V3"
"79","1-E-112-BS",0.324846083311501,"V3"
"80","1-E-118-FH",0.318541379030293,"V3"
"81","1-E-129-PV",0.321776814734561,"V3"
"82","1-E-116-CJ",0.349741554513594,"V3"
"83","1-E-113-RC",0.309013505578391,"V3"
"84","1-E-119-SM",0.332825328154958,"V3"
"85","1-E-127-TL",0.32132320936306,"V3"
"86","1-E-102-TS",0.392545558662041,"V3"
"87","1-E-107-DE",0.355227064919232,"V3"
"88","1-E-133-JM",0.332195339171738,"V3"
"89","1-E-134-CN",0.334254825492422,"V3"
"90","1-E-137-LM",0.345058125031183,"V3"
"91","1-E-135-TR",0.348642971459056,"V3"
"92","1-E-105-BR",0.32562295751634,"V3"
"93","1-E-109-MH",0.318094001136456,"V3"
"94","1-E-128-JA",0.330049822527598,"V3"
"95","1-E-147-FE",0.320463650994761,"V3"
"96","1-E-122-PC",0.323254830525015,"V3"
"97","1-E-106-SF",0.351951547779273,"V3"
"98","1-E-126-MM",0.324388318863457,"V3"
"99","1-E-131-LD",0.347139156298973,"V3"
"100","1-E-139-MI",0.341678402783531,"V3"
"101","1-E-132-PY",0.317331710753859,"V3"
"102","1-E-111-MS",0.371790710783895,"V3"
"103","1-E-114-LC",0.333847980997625,"V3"
"104","1-E-146-VC",0.325534570263749,"V3"
"105","1-E-140-BF",0.341297209893247,"V3"
"106","1-E-142-BE",0.310391273259391,"V3"
